,Gene,ACC,Recall,Precision,Sp,Sn,f1_Score,AUC,Parameter
0,['IL18'],71.88%,44.74%,67.11%,87.44%,44.74%,53.70%,75.51%,"{'bootstrap': True, 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 300}"
1,"['IL18', 'FER1L3']",76.36%,61.40%,70.00%,84.92%,61.40%,65.40%,81.12%,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 500}"
2,"['IL18', 'FER1L3', 'AL157484']",78.27%,65.79%,72.12%,85.43%,65.79%,68.80%,85.25%,"{'bootstrap': True, 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 500}"
3,"['IL18', 'FER1L3', 'AL157484', 'VPS13C']",78.59%,69.30%,71.17%,83.92%,69.30%,70.20%,84.31%,"{'bootstrap': True, 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 500}"
4,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591']",80.83%,68.42%,76.47%,87.94%,68.42%,72.20%,85.69%,"{'bootstrap': True, 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 300}"
5,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591', 'IL2RB']",82.75%,70.18%,80.00%,89.95%,70.18%,74.80%,86.89%,"{'bootstrap': True, 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 500}"
6,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591', 'IL2RB', 'ABCA1']",83.39%,71.05%,81.00%,90.45%,71.05%,75.70%,88.38%,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 300}"
7,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591', 'IL2RB', 'ABCA1', 'ERVWE1']",83.39%,70.18%,81.63%,90.95%,70.18%,75.50%,89.43%,"{'bootstrap': True, 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 300}"
8,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591', 'IL2RB', 'ABCA1', 'ERVWE1', 'LDLR']",84.03%,71.93%,82.00%,90.95%,71.93%,76.60%,89.62%,"{'bootstrap': True, 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 300}"
9,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591', 'IL2RB', 'ABCA1', 'ERVWE1', 'LDLR', 'SYTL3']",83.07%,67.54%,82.80%,91.96%,67.54%,74.40%,89.17%,"{'bootstrap': True, 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 500}"
10,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591', 'IL2RB', 'ABCA1', 'ERVWE1', 'LDLR', 'SYTL3', 'SLC40A1']",82.11%,69.30%,79.00%,89.45%,69.30%,73.80%,89.73%,"{'bootstrap': True, 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 100}"
11,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591', 'IL2RB', 'ABCA1', 'ERVWE1', 'LDLR', 'SYTL3', 'SLC40A1', 'BRI3']",82.11%,68.42%,79.59%,89.95%,68.42%,73.60%,90.10%,"{'bootstrap': True, 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 100}"
12,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591', 'IL2RB', 'ABCA1', 'ERVWE1', 'LDLR', 'SYTL3', 'SLC40A1', 'BRI3', 'CDAN1']",84.66%,74.56%,81.73%,90.45%,74.56%,78.00%,90.39%,"{'bootstrap': True, 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 500}"
13,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591', 'IL2RB', 'ABCA1', 'ERVWE1', 'LDLR', 'SYTL3', 'SLC40A1', 'BRI3', 'CDAN1', 'OLIG2']",84.66%,72.81%,83.00%,91.46%,72.81%,77.60%,89.84%,"{'bootstrap': True, 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 300}"
14,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591', 'IL2RB', 'ABCA1', 'ERVWE1', 'LDLR', 'SYTL3', 'SLC40A1', 'BRI3', 'CDAN1', 'OLIG2', 'STAU2']",83.71%,70.18%,82.47%,91.46%,70.18%,75.80%,90.34%,"{'bootstrap': True, 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 100}"
15,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591', 'IL2RB', 'ABCA1', 'ERVWE1', 'LDLR', 'SYTL3', 'SLC40A1', 'BRI3', 'CDAN1', 'OLIG2', 'STAU2', 'MGC24103']",83.39%,71.05%,81.00%,90.45%,71.05%,75.70%,90.21%,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 100}"
16,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591', 'IL2RB', 'ABCA1', 'ERVWE1', 'LDLR', 'SYTL3', 'SLC40A1', 'BRI3', 'CDAN1', 'OLIG2', 'STAU2', 'MGC24103', 'RNF165']",82.75%,71.05%,79.41%,89.45%,71.05%,75.00%,90.21%,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 100}"
17,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591', 'IL2RB', 'ABCA1', 'ERVWE1', 'LDLR', 'SYTL3', 'SLC40A1', 'BRI3', 'CDAN1', 'OLIG2', 'STAU2', 'MGC24103', 'RNF165', 'BC080552']",82.11%,67.54%,80.21%,90.45%,67.54%,73.30%,90.39%,"{'bootstrap': True, 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 100}"
18,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591', 'IL2RB', 'ABCA1', 'ERVWE1', 'LDLR', 'SYTL3', 'SLC40A1', 'BRI3', 'CDAN1', 'OLIG2', 'STAU2', 'MGC24103', 'RNF165', 'BC080552', 'AK124771']",80.51%,67.54%,76.24%,87.94%,67.54%,71.60%,90.53%,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 300}"
19,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591', 'IL2RB', 'ABCA1', 'ERVWE1', 'LDLR', 'SYTL3', 'SLC40A1', 'BRI3', 'CDAN1', 'OLIG2', 'STAU2', 'MGC24103', 'RNF165', 'BC080552', 'AK124771', 'GPR97']",82.11%,69.30%,79.00%,89.45%,69.30%,73.80%,90.10%,"{'bootstrap': True, 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 300}"
20,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591', 'IL2RB', 'ABCA1', 'ERVWE1', 'LDLR', 'SYTL3', 'SLC40A1', 'BRI3', 'CDAN1', 'OLIG2', 'STAU2', 'MGC24103', 'RNF165', 'BC080552', 'AK124771', 'GPR97', 'SSTR5']",81.15%,69.30%,76.70%,87.94%,69.30%,72.80%,90.59%,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 300}"
21,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591', 'IL2RB', 'ABCA1', 'ERVWE1', 'LDLR', 'SYTL3', 'SLC40A1', 'BRI3', 'CDAN1', 'OLIG2', 'STAU2', 'MGC24103', 'RNF165', 'BC080552', 'AK124771', 'GPR97', 'SSTR5', 'MYO5C']",81.79%,69.30%,78.22%,88.94%,69.30%,73.50%,90.27%,"{'bootstrap': True, 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 500}"
22,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591', 'IL2RB', 'ABCA1', 'ERVWE1', 'LDLR', 'SYTL3', 'SLC40A1', 'BRI3', 'CDAN1', 'OLIG2', 'STAU2', 'MGC24103', 'RNF165', 'BC080552', 'AK124771', 'GPR97', 'SSTR5', 'MYO5C', 'LOC730656']",83.39%,71.93%,80.39%,89.95%,71.93%,75.90%,90.61%,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 300}"
23,"['IL18', 'FER1L3', 'AL157484', 'VPS13C', 'LOC653591', 'IL2RB', 'ABCA1', 'ERVWE1', 'LDLR', 'SYTL3', 'SLC40A1', 'BRI3', 'CDAN1', 'OLIG2', 'STAU2', 'MGC24103', 'RNF165', 'BC080552', 'AK124771', 'GPR97', 'SSTR5', 'MYO5C', 'LOC730656', 'NRG1']",83.39%,70.18%,81.63%,90.95%,70.18%,75.50%,90.27%,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 300}"
